{Par}【炎の矢】  敵を貫く火炎が{/n}まっすぐ とんでいくよ。,{Par}【炎之矢】 贯穿敌人的火焰{/n}会笔直地飞射出去哦。
{Par}【プレセアの恥ずかしい秘密４】{/n}？？？？,{Par}【普蕾西娅的羞耻秘密４】{/n}？？？？
{Par}【ぷうぷうサンダル】  使用中！{/n}ＡＣ：サンダルを脱ぐよ。,{Par}【噗噗凉鞋】 使用中！{/n}ＡＣ：可脱下凉鞋哦。
{Par}使用できません,{Par}无法使用
{Par}なにもかいていない日記,{Par}空白的日记
{Par}東京タワー,{Par}东京塔
{Par}創師の館,{Par}创师之馆
{Par}白き氷のローゼン,{Par}寒冰的罗森
{Par}沈黙の森,{Par}沉默之森
{Par}伝説の泉エテルナ,{Par}传说之泉艾蒂露娜
{Par}魔法のとばりのポリーズ,{Par}魔法笼罩的波利兹
{Par}いざないのどうくつ,{Par}指引洞窟
{Par}空中庭園エアリア,{Par}空中庭园艾瑞亚
{Par}海に臨むタフロン,{Par}海边的塔夫隆
{Par}永遠の氷穴,{Par}永恒冰穴
{Par}白き氷のローゼン,{Par}寒冰的罗森
{Par}遙かなる湖のレクイド,{Par}遥远湖畔的雷奎德
{Par}まどいのほらあな,{Par}迷途洞穴
{Par}白き氷のローゼン,{Par}寒冰的罗森
{Par}紅の地下道,{Par}红色地道
{Par}かげろうのアイアイ,{Par}炙热的艾艾
{Par}炎の館,{Par}炎之馆
{Par}生命の木のライリー,{Par}生命之树的莱利
{Par}生命の木,{Par}生命之树
{Par}ラカタク大滝,{Par}拉卡塔克瀑布
{Par}ひそかなる大穴,{Par}隐秘大洞窟
{Par}遙かなる湖のレクイド,{Par}遥远湖畔的雷奎德
{Par}東の樹海,{Par}东之树海
{Par}空中庭園エアリア,{Par}空中庭园艾瑞亚
{Par}蒼き雲の迷宮,{Par}苍蓝云之迷宫
{Par}さざめきの森,{Par}私语之森
{Par}真実の眠る火山,{Par}沉眠真相的火山
{Par}ザガート城,{Par}扎加特城
{Par}七色おじさんの店,{Par}七彩大叔的店
{Par}伝説の岬,{Par}传说之岬
{Par}大いなる渦,{Par}大漩涡
{Par}かげろうのアイアイ,{Par}炙热的艾艾
{Par}生命の木のライリー,{Par}生命之树的莱利
{Par}魔法のとばりのポリーズ,{Par}魔法笼罩的波利兹
{Par}さざめきの森,{Par}私语之森
{Par}海に臨むタフロン,{Par}海边的塔夫隆
{Par}創師の館,{Par}创师之馆
{Par}静かなる海原,{Par}寂静之海
{Par}海に臨むタフロン,{Par}海边的塔夫隆
{Par}ライリーのはずれ,{Par}莱利的尽头
{Par}西の樹海,{Par}西之树海
{Par}海に臨むタフロン,{Par}海边的塔夫隆
